case,x1,y1,x2,y2
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00000.nii\imaging.nii,138,268,386,355
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00001.nii\imaging.nii,89,214,421,330
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00002.nii\imaging.nii,117,290,352,414
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00003.nii\imaging.nii,96,223,371,356
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00004.nii\imaging.nii,136,262,382,334
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00006.nii\imaging.nii,149,243,368,340
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00007.nii\imaging.nii,142,263,381,347
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00008.nii\imaging.nii,120,233,455,364
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00009.nii\imaging.nii,147,282,365,356
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00010.nii\imaging.nii,136,232,382,341
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00011.nii\imaging.nii,153,237,356,314
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00012.nii\imaging.nii,169,236,349,322
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00013.nii\imaging.nii,122,270,376,365
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00014.nii\imaging.nii,176,248,352,307
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00015.nii\imaging.nii,102,266,427,389
